Stock,MarketCap
ASHIMASYN.NS,2842031977.5582733
ASHOKA.NS,34687839459.0
ASHOKAMET.NS,414933609.5352173
ASHOKLEY.NS,1019289973238.3274
ASIANENE.NS,13246578296.409729
ASIANHOTNR.NS,12727235810.0
ASIANPAINT.NS,2255476456033.3745
ASIANTILES.NS,21572369194.524445
ASKAUTOLTD.NS,86003459250.0
ASMS.NS,2582810615.775833
ASPINWALL.NS,1727841648.0
ASTEC.NS,14344933079.807068
ASTERDM.NS,351833328849.6148
ASTRAL.NS,437846050404.8838
ASTRAMICRO.NS,95381752718.80664
ASTRAZEN.NS,209550000000.0
ASTRON.NS,223550660.98145676
ATALREAL.NS,3130858294.2152023
ATAM.NS,810244393.3390427
ATGL.NS,638612645600.6536
ATHERENERG.NS,349571935314.0
ATL.NS,7267297031.364504
ATLANTAA.NS,3322755037.3077393
ATLANTAELE.NS,100196302375.0
ATLASCYCLE.NS,770528127.5480347
ATUL.NS,188515557265.0
ATULAUTO.NS,14121238997.380371
AUBANK.NS,725325681998.5
AURIGROW.NS,206534401.58843994
AURIONPRO.NS,48759066995.01343
AUROPHARMA.NS,780887782123.5
AURUM.NS,13036874080.534668
AUSOMENT.NS,1430473065.0
AUTOAXLES.NS,25690357500.0
AUTOIND.NS,2973903823.0824203
AVADHSUGAR.NS,9577813293.365479
AVALON.NS,71112638581.26672
AVANTEL.NS,40600618690.88516
AVANTIFEED.NS,194667762796.61865
AVG.NS,2441609206.0949707
AVL.NS,63800961816.86911
AVONMORE.NS,3374929513.1244936
AVROIND.NS,1618490520.753479
AVTNPL.NS,9570619706.413483
AWFIS.NS,22799955354.99701
AWHCL.NS,14244868147.5
AWL.NS,236199462557.57843
AXISBANK.NS,4172437259752.8145
AXISCADES.NS,72337363958.0
AXITA.NS,3354484245.502468
AYE.NS,26828862593.976494
AYMSYNTEX.NS,11238733167.180557
AZAD.NS,111190383769.69458
BAFNAPH.NS,3261005610.5771484
BAGFILMS.NS,1105060274.4571733
BAIDFIN.NS,1663498233.7289257
BAJAJ-AUTO.NS,2721595147634.0
BAJAJCON.NS,55499723795.66904
BAJAJELEC.NS,43079132251.874054
BAJAJFINSV.NS,2839551193012.5
BAJAJHCARE.NS,11320752483.378845
BAJAJHFL.NS,708602578805.7957
BAJAJHIND.NS,43078558791.93259
BAJAJHLDNG.NS,1109095473905.0
BAJAJINDEF.NS,8605759765.625
BAJEL.NS,19668478950.0
BAJFINANCE.NS,5609008485008.276
BALAJEE.NS,2674708344.5503464
BALAJITELE.NS,11479264038.072693
BALAMINES.NS,35594120132.08008
BALAXI.NS,1295719987.0920181
BALKRISHNA.NS,545476686.5926208
BALKRISIND.NS,436645527613.6841
BALMLAWRIE.NS,28876823915.574493
BALPHARMA.NS,1189925939.2693481
BALRAMCHIN.NS,96431333190.0
BALUFORGE.NS,56156401695.55545
BANARBEADS.NS,703428932.0
BANARISUG.NS,45174269250.0
BANCOINDIA.NS,82940558259.16364
BANDHANBNK.NS,267083089122.20584
BANG.NS,478532412.4145508
BANKA.NS,789032433.3716431
BANKBARODA.NS,1402318351519.1077
BANKINDIA.NS,650348632445.3794
BANSALWIRE.NS,45281281804.0
BANSWRAS.NS,3797707482.534424
BASF.NS,156538184268.88672
BASML.NS,1781683524.0
BATAINDIA.NS,93420239311.1206
BAYERCROP.NS,219447329200.0
BBL.NS,29137909647.0
BBOX.NS,92625894488.36975
BBTC.NS,102557717513.41553
BBTCL.NS,3634591842.60466
BCG.NS,19618460805.653625
BCLIND.NS,9631412185.43518
BCONCEPTS.NS,3137943801.6166687
BDL.NS,488701107101.4404
BEARDSELL.NS,970938973.0968475
BECTORFOOD.NS,58706412424.832535
BEDMUTHA.NS,3710346660.0
BEL.NS,3215937285049.2485
BELLACASA.NS,3778899490.354645
BELRISE.NS,183831245112.77747
BEML.NS,134386801500.0
BEPL.NS,22919863786.272125
BERGEPAINT.NS,532050637309.5231
BESTAGRO.NS,6192557081.28891
BETA.NS,13819444426.0
BFINVEST.NS,14639523392.295044
BFUTILITIE.NS,17486181020.0
BGRENERGY.NS,23811150041.28784
BHAGCHEM.NS,28381688283.037903
BHAGERIA.NS,6925740380.433655
BHAGYANGR.NS,5988226564.256195
BHANDA-RE2.NS,
BHANDARI.NS,1028835349.3921201
BHARATCOAL.NS,
BHARATFORG.NS,846742764463.1143
BHARATGEAR.NS,1611247557.9439545
BHARATRAS.NS,26277914832.0
BHARATSE.NS,11310574840.5
BHARATWIRE.NS,11762267132.0
BHARTIARTL.NS,11367904037942.662
BHARTIHEXA.NS,756599975585.9375
BHEL.NS,1001371732874.6782
BIGBLOC.NS,7071708820.513725
BIKAJI.NS,158617192603.48352
BIL.NS,9867380250.098694
BILVYAPAR.NS,219621584.80090427
BIOCON.NS,554944873412.2284
BIOFILCHEM.NS,544174018.8715668
BIRLACABLE.NS,4246500091.5527344
BIRLACORPN.NS,72302128919.0376
BIRLAMONEY.NS,7716214369.5
BIRLANU.NS,10950139253.79602
BLACKBUCK.NS,103951300522.40308
BLAL.NS,7292143728.0
BLBLIMITED.NS,883163863.6129723
BLISSGVS.NS,27650683703.838684
BLKASHYAP.NS,11274120400.0
BLS.NS,116689715051.50513
BLSE.NS,14783867206.232574
BLUECOAST.NS,420111844.1289253
BLUEDART.NS,123145602349.41895
BLUEJET.NS,69681063339.99786
BLUESTARCO.NS,355959954230.1072
BLUESTONE.NS,75986284910.60349
BLUSPRING.NS,9656772344.17057
BMWVENTLTD.NS,4997385542.621613
BODALCHEM.NS,8379058490.709686
BOHRAIND.NS,171756495.35999998
BOMDYEING.NS,22349141339.91165
BONLON.NS,699077855.8611755
BORANA.NS,8738324820.509949
BOROLTD.NS,29500910859.364304
BORORENEW.NS,66649940032.04077
BOROSCI.NS,10220016180.722427
BOSCH-HCIL.NS,36132328072.0
BOSCHLTD.NS,1090250512005.0
BPCL.NS,1270965235669.872
BPL.NS,2432625462.4927216
BRIGADE.NS,177697151596.0
BRIGHOTEL.NS,23705974486.100624
BRITANNIA.NS,1337300779392.0
BRNL.NS,1687395032.0243835
BROOKS.NS,2108789151.676155
BSE.NS,1341647405869.5
BSHSL.NS,10493728100.0
BSL.NS,1163014984.0
BSOFT.NS,102152238264.0
BTML.NS,1204656282.3036604
BUILDPRO.NS,26827030537.84912
BUTTERFLY.NS,11237297803.5
BVCL.NS,945112322.5
BYKE.NS,2017458194.977188
CALSOFT.NS,732666847.985672
CAMLINFINE.NS,19956397557.326584
CAMPUS.NS,73036775995.0
CAMS.NS,176192985829.0
CANBK.NS,1249119445913.7478
CANFINHOME.NS,110375148287.5
CANHLIFE.NS,136584792469.09561
CANTABIL.NS,19629505846.88266
CAPACITE.NS,19965875708.17035
CAPILLARY.NS,43209053507.0387
CAPITALSFB.NS,11699875686.814178
CAPLIPOINT.NS,129970795644.0
CAPTRUST.NS,444107649.1597738
CARBORUNIV.NS,169701947880.8982
CARERATING.NS,46431501640.37036
CARRARO.NS,28053392120.0885
CARTRADE.NS,86906725015.8971
CARYSIL.NS,24050560627.984314
CASTROLIND.NS,177794748524.0
CCAVENUE.NS,52458965665.9771
CCCL.NS,7183891937.994959
CCHHL.NS,2120137656.5997934
CCL.NS,144373701320.313
CDSL.NS,272243394897.46094
CEATLTD.NS,145475559211.60156
CEIGALL.NS,51973013536.75256
CEINSYS.NS,24247755352.321655
CELEBRITY.NS,501540647.188838
CELLO.NS,92410726401.0
CEMPRO.NS,106740211124.36719
CENTENKA.NS,9235030557.13678
CENTEXT.NS,1664626720.6155777
CENTRALBK.NS,317783518985.5128
CENTRUM.NS,14114119959.222918
CENTUM.NS,42052157326.0
CENTURYPLY.NS,160475547964.92737
CERA.NS,65739071166.43799
CEREBRAINT.NS,622528029.30019
CESC.NS,213655432198.6322
CEWATER.NS,6500687225.719788
CGCL.NS,176632226105.71652
CGPOWER.NS,1138431786389.4243
CHALET.NS,167114412967.1637
CHAMBLFERT.NS,180714213671.0749
CHEMBOND.NS,1938301815.1054688
CHEMBONDCH.NS,4000865680.0
CHEMCON.NS,5604497253.0
CHEMFAB.NS,5551842397.5
CHEMPLASTS.NS,38221113030.0
CHENNPETRO.NS,142634780854.46777
CHEVIOT.NS,6024694377.682373
CHOICEIN.NS,154540999998.0
CHOLAFIN.NS,1297396957155.6226
CHOLAHLDNG.NS,295558154157.37976
CIEINDIA.NS,184025521268.68964
CIFL.NS,10116626809.187508
CIGNITITEC.NS,33469555185.0
CINELINE.NS,3011324084.298401
CINEVISTA.NS,830531430.6910276
CIPLA.NS,982990703385.1556
CLEAN.NS,77126820896.75067
CLEANMAX.NS,103615068990.0
CLEDUCATE.NS,2850361710.0
CLSEL.NS,13419089746.096436
CMSINFO.NS,49951028934.532196
CNL.NS,9161673660.981934
COALINDIA.NS,2670618358119.759
COASTCORP.NS,3270786075.1101646
COCHINSHIP.NS,377467894602.25464
COFFEEDAY.NS,5564370337.034454
COFORGE.NS,412745214468.1908
COHANCE.NS,139157680518.3653
COLPAL.NS,523381970711.0486
COMPINFO.NS,99542621.3509047
COMPUSOFT.NS,1090345069.5112953
COMSYN.NS,6113109951.0
CONCOR.NS,366147822251.25
CONCORDBIO.NS,110621176663.70654
CONFIPET.NS,18331524076.946884
CONSOFINVT.NS,7111800520.0
CONTROLPR.NS,10326537606.073425
CORALFINAC.NS,1324893977.1825027
CORDSCABLE.NS,2051768050.595398
COROMANDEL.NS,626600689328.9878
CORONA.NS,
COSMOFIRST.NS,17104436785.889587
COUNCODOS.NS,386434555.48005104
CPCAP.NS,1575305914.928833
CPEDU.NS,3473759817.076355
CPPLUS.NS,227314956942.94043
CRAFTSMAN.NS,176352397327.5
CRAMC.NS,51106698204.41052
CREATIVEYE.NS,125364062.5
CREDITACC.NS,195912339391.8296
CREST.NS,9696916818.696594
CRISIL.NS,296481851173.3762
CRIZAC.NS,38324667897.605896
CROMPTON.NS,156517079374.16895
CROWN.NS,1388776686.3243484
CSBBANK.NS,67406032886.64267
CSLFINANCE.NS,5343700932.722168
CTE.NS,572710437.25
CUB.NS,187701169559.95007
CUBEXTUB.NS,1299017429.4792175
CUMMINSIND.NS,1407455252929.6875
CUPID.NS,125026556399.93668
CURAA.NS,1115802358.196907
CYBERMEDIA.NS,317861547.2275448
CYBERTECH.NS,3828751566.5678787
CYIENT.NS,100002490076.63428
CYIENTDLM.NS,25195194750.0
DABUR.NS,763750998888.9457
DALBHARAT.NS,363029951003.645
DALMIASUG.NS,30663855435.5643
DAMCAPITAL.NS,10351964484.283447
DAMODARIND.NS,631861074.0
DANGEE.NS,497339252.93684006
DATAMATICS.NS,41723201438.127075
DATAPATTNS.NS,184545549944.41553
DAVANGERE.NS,5305265918.83982
DBCORP.NS,37476205941.5
DBEIL.NS,3213613431.8925476
DBL.NS,71288915953.53458
DBOL.NS,8081338727.246704
DBREALTY.NS,55189888033.5
DBSTOCKBRO.NS,925400018.6920166
DCAL.NS,25196762471.176407
DCBBANK.NS,59774472903.63208
DCI.NS,5416919799.8046875
DCM.NS,1270086932.0
DCMFINSERV.NS,130316565.1059866
DCMNVL.NS,2274995121.1804504
DCMSHRIRAM.NS,173904770484.9845
DCMSIL.NS,5958964741.0
DCMSRIND.NS,3581323834.5
DCW.NS,16398082719.0
DCXINDIA.NS,19474484370.838257
DDEVPLSTIK.NS,24058324380.0
DECCANCE.NS,9113354689.962402
DEEDEV.NS,25412719757.05011
DEEPAKFERT.NS,136474555320.0
DEEPAKNTR.NS,201875336654.19177
DEEPINDS.NS,29872000000.0
DELHIVERY.NS,354247935569.0
DELPHIFX.NS,39823262962.50236
DELTACORP.NS,15620886880.179321
DELTAMAGNT.NS,652789552.5240898
DEN.NS,14059826724.226942
DENORA.NS,3926531267.7053223
DENTA.NS,7304585641.479492
DEVIT.NS,1742202422.0495796
DEVX.NS,3371209407.0306587
DEVYANI.NS,130691617846.0
DGCONTENT.NS,1676847944.766203
DHAMPURSUG.NS,9249848019.06253
DHANBANK.NS,10267480895.82883
DHANUKA.NS,45842402142.07251
DHARAN.NS,880632982.7163185
DHARMAJ.NS,9294256400.0
DHRUV.NS,637656029.5215187
DHUNINV.NS,4864938475.056885
DIACABS.NS,73196277017.6239
DIAMINESQ.NS,2574271530.975586
DIAMONDYD.NS,23131461755.991333
DICIND.NS,4640890827.22403
DIFFNKG.NS,10543857556.0
DIGIDRIVE.NS,817488300.771904
DIGISPICE.NS,3686653833.76935
DIGITIDE.NS,13747824465.583443
DIGJAMLMTD.NS,947483658.0173035
DISHTV.NS,5611482504.625174
DIVGIITTS.NS,20924839026.726746
DIVISLAB.NS,1608872329090.0
DIXON.NS,637278800805.0
DJML.NS,2853361633.0
DLF.NS,1394590675592.8147
DLINKINDIA.NS,14862291439.733337
DMART.NS,2865300827531.0
DMCC.NS,6712721088.011169
DNAMEDIA.NS,370780267.92551136
DODLA.NS,64288331133.6969
DOLATALGO.NS,14261769786.060333
DOLLAR.NS,15417142138.031006
DOLPHIN.NS,16307866792.83142
DOMS.NS,145719006572.83936
DONEAR.NS,4684562460.0
DPABHUSHAN.NS,25765872189.35547
DPSCLTD.NS,9007554170.0
DPWIRES.NS,3069087912.0
DRCSYSTEMS.NS,2332676809.647732
DREAMFOLKS.NS,4029332329.1666565
DREDGECORP.NS,25452000000.0
DRREDDY.NS,1021344006639.4568
DSFCL.NS,1946885049.673252
DSSL.NS,13679648567.781738
DTIL.NS,1389487176.0
DUCON.NS,1139846323.7600374
DVL.NS,8008781217.493805
DWARKESH.NS,8585017444.397125
DYCL.NS,14600587037.863892
DYNAMATECH.NS,70624560656.0
DYNPRO.NS,2945527719.0
E2E.NS,48281355580.76367
EASEMYTRIP.NS,28258349209.16253
EBGNG.NS,47628311226.75
ECLERX.NS,137222464952.5
ECOSMOBLTY.NS,8035799560.546875
EDELWEISS.NS,109326564649.14705
EFCIL.NS,26359780271.639893
EICHERMOT.NS,1951745561460.0
EIDPARRY.NS,153679206305.73352
EIEL.NS,34112499557.18994
EIFFL.NS,5888512060.546875
EIHAHOTELS.NS,19194932610.0
EIHOTEL.NS,194394459791.62006
EIMCOELECO.NS,10264841107.5
EKC.NS,12784555732.319275
ELDEHSG.NS,8245234434.407837
ELECON.NS,94304070582.5
ELECTCAST.NS,51346297022.94056
ELECTHERM.NS,9123854824.0
ELGIEQUIP.NS,163816829212.5
ELGIRUBCO.NS,2039537500.0
ELIN.NS,5808522281.14975
ELLEN.NS,34023263712.121582
EMAMILTD.NS,186839671692.0
EMAMIPAP.NS,4305717277.722931
EMAMIREAL.NS,3070564058.220413
EMBDL.NS,69827188574.22351
EMCURE.NS,308746577289.5
EMIL.NS,39294390006.31596
EMKAY.NS,5669408246.348251
EMMBI.NS,1589052177.0401
EMMVEE.NS,167180555963.65775
EMSLIMITED.NS,17603265819.0
EMUDHRA.NS,39628118220.1861
ENDURANCE.NS,339194377930.59375
ENERGYDEV.NS,782507972.6522331
ENGINERSIN.NS,122172660559.81908
ENIL.NS,5148404820.0
ENRIN.NS,1009521466252.0
ENTERO.NS,52635178364.34253
EPACK.NS,22970700629.44522
EPACKPEB.NS,17503036697.8777
EPIGRAL.NS,48016309194.0
EPL.NS,74358347448.02509
EQUIPPP.NS,1535087935.6449366
EQUITASBNK.NS,71105092107.0029
ERIS.NS,190288655294.5
ESABINDIA.NS,83827305309.55078
ESAFSFB.NS,12154167631.04226
ESCORTS.NS,348130097424.1284
ESSARSHPNG.NS,5633670733.901653
ESSENTIA.NS,1398674551.546257
ESTER.NS,8866681373.821884
ETERNAL.NS,2217934599765.518
ETHOSLTD.NS,64619828595.0
EUREKAFORB.NS,95739748194.83936
EUROBOND.NS,4179210044.86084
EUROPRATIK.NS,24408426187.13379
EUROTEXIND.NS,153067682.38162994
EVEREADY.NS,21523309325.875244
EVERESTIND.NS,5731062476.851685
EXCEL.NS,1449335832.66
EXCELINDUS.NS,11678745286.190613
EXCELSOFT.NS,9774098168.5709
EXICOM.NS,15217055253.891602
EXIDEIND.NS,280024796059.3706
EXPLEOSOL.NS,11698003271.25
EXXARO.NS,3163193725.803137
FABTECH.NS,6822752768.72551
FACT.NS,550270022487.2556
FAIRCHEMOR.NS,6739720734.630127
FAZE3Q.NS,10882931855.288574
FCL.NS,28216128585.94494
FCSSOFT.NS,2923335866.2142754
FDC.NS,57520800689.77222
FEDERALBNK.NS,710030712311.9385
FEDFINA.NS,52930682079.08038
FEL.NS,386888793.8236028
FELDVR.NS,1344509831.7421818
FIBERWEB.NS,1051473262.3797989
FIEMIND.NS,57642689936.2793
FILATEX.NS,19836086798.15483
FILATFASH.NS,1894612522.7338448
FINCABLES.NS,129340806779.13538
FINEORG.NS,143041049036.26172
FINKURVE.NS,8871806912.904053
FINOPB.NS,11072275270.0
FINPIPE.NS,102473160833.928
FIRSTCRY.NS,118318446501.16504
FISCHER.NS,26311522393.355675
FIVESTAR.NS,124563967316.0
FLAIR.NS,33173195225.5
FLEXITUFF.NS,221898853.93605423
FLFL.NS,271938731.42469466
FLUOROCHEM.NS,370436164636.23047
FMGOETZE.NS,25334871662.448425
FMNL.NS,544159478.2392025
FOCUS.NS,4522940714.644051
FOODSIN.NS,4447711610.965652
FORCEMOT.NS,295148268800.0
FORTIS.NS,646017696459.3977
FOSECOIND.NS,34883520349.67676
FRACTAL.NS,145482485598.0
FSL.NS,149892478509.81177
FUSION.NS,24891378294.928543
GABRIEL.NS,133265665335.0
GAEL.NS,70905895649.69788
GAIL.NS,1012562265022.0
GALAPREC.NS,9558491154.34021
GALAXYSURF.NS,66456398881.0
GALLANTT.NS,163890081891.25
GANDHAR.NS,13458435375.0
GANDHITUBE.NS,10489543772.867737
GANECOS.NS,27275212640.367737
GANESHBE.NS,6774924454.248856
GANESHCP.NS,7819501143.534943
GANESHHOU.NS,49527763123.40881
GANGAFORGE.NS,366662069.45672274
GANGESSECU.NS,1278729307.4118805
GARFIBRES.NS,61966703741.25
GARUDA.NS,16003179624.0
GATECH.NS,636402191.8061309
GATECHDVR.NS,673287514.870851
GATEWAY.NS,28590193134.948353
GAUDIUMIVF.NS,7473757374.0127945
GAYAHWS.NS,563181942.1450138
GCSL.NS,8227619408.133118
GEECEE.NS,6388626659.997192
GEEKAYWIRE.NS,2591050895.690918
GEMAROMA.NS,8619127935.0
GENCON.NS,2473063435.6154594
GENESYS.NS,10364431170.208603
GENUSPAPER.NS,3214074250.0
GENUSPOWER.NS,84615380519.94006
GEOJITFSL.NS,17687968382.895412
GESHIP.NS,192564353727.85278
GFLLIMITED.NS,4977305830.71682
GHCL.NS,44321456686.62155
GHCLTEXTIL.NS,8104718882.451401
GICHSGFIN.NS,8034640894.646362
GICL.NS,4524084883.997086
GICRE.NS,684216000000.0
GILLANDERS.NS,1897334591.9658356
GILLETTE.NS,250238173951.5
GINNIFILA.NS,3457693032.5658607
GIPCL.NS,21932013360.88147
GKENERGY.NS,23770183073.45082
GKSL.NS,8474072774.671555
GKWLIMITED.NS,9218242500.0
GLAND.NS,287681186177.9264
GLAXO.NS,417873855796.021
GLENMARK.NS,611711229101.7485
GLFL.NS,180711098.10870838
GLOBAL.NS,5071825428.93219
GLOBALE.NS,122727011.0
GLOBALVECT.NS,2478000000.0
GLOBE.NS,1099021868.4931698
GLOBECIVIL.NS,2755434623.550415
GLOBUSSPR.NS,26935393333.463745
GLOSTERLTD.NS,6240394015.0
GLOTTIS.NS,5505370909.194946
GMBREW.NS,22475660501.25
GMDCLTD.NS,192914707763.67188
GMMPFAUDLR.NS,41295020076.0
GMRAIRPORT.NS,1003102715440.0
GMRP&UI.NS,81983410972.52054
GNA.NS,19061275200.0
GNFC.NS,64903701474.80951
GOACARBON.NS,3056451368.0
GOCLCORP.NS,13809865352.187836
GOCOLORS.NS,15595775359.494385
GODAVARIB.NS,15910610936.946625
GODFRYPHLP.NS,321805984288.59375
GODIGIT.NS,295633250249.051
GODREJAGRO.NS,113544557197.85767
GODREJCP.NS,1088220611893.5
GODREJIND.NS,301692937221.5
GODREJPROP.NS,513227877243.6046
GOKEX.NS,48123428796.0
GOKUL.NS,3898423205.7380676
GOKULAGRO.NS,58669143235.219666
GOLDENTOBC.NS,434059453.0107498
GOLDIAM.NS,38877612310.80835
GOLDTECH.NS,2106975380.9954338
GOODLUCK.NS,36924660459.587036
GOPAL.NS,33031831035.0
GOYALALUM.NS,1003411473.346529
GPIL.NS,189890311951.14288
GPPL.NS,72877575695.1471
GPTHEALTH.NS,11339156190.699158
GPTINFRA.NS,14197062617.182922
GRANULES.NS,158664365491.43524
GRAPHITE.NS,125108551357.39264
GRASIM.NS,1848902567743.2068
GRAVITA.NS,112533029040.0
GREAVESCOT.NS,35410825513.71414
GREENLAM.NS,55501086425.112274
GREENPANEL.NS,25547849205.327026
GREENPLY.NS,26676578999.802475
GREENPOWER.NS,12022261931.6015
GRINDWELL.NS,171616000000.0
GRINFRA.NS,81265393683.87463
GRMOVER.NS,34760246550.0
GROBTEA.NS,994955336.0
GROWW.NS,1221845645391.6646
GRPLTD.NS,10692797457.0083
GRSE.NS,286609104000.0
GRWRHITECH.NS,88392691781.04883
GSFC.NS,66585597695.11383
GSLSU.NS,2569609670.6086655
GSPL.NS,134630924781.58284
GSS.NS,395477985.1301594
GTECJAINX.NS,208672742.85580063
GTL.NS,1170288059.640594
GTLINFRA.NS,15242843887.993261
GTPL.NS,7860041727.068008
GUFICBIO.NS,30845398508.457916
GUJALKALI.NS,46544324069.953125
